City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
130,Cassilandia,BR,-19.1133,-51.7342,86.0,51,34,4.52,scattered clouds
131,Upernavik,GL,72.7868,-56.1549,-10.41,82,22,8.84,few clouds
132,Tiko,CM,4.0745,9.3699,84.47,72,74,5.77,light rain
133,Umm Lajj,SA,25.0213,37.2685,72.61,53,0,12.35,clear sky
134,Vila Velha,BR,-20.3297,-40.2925,91.94,56,20,8.05,few clouds
135,Dryden,CA,49.7833,-92.7503,16.09,67,100,8.05,overcast clouds
136,Broken Hill,AU,-31.95,141.4333,68.47,65,97,9.98,overcast clouds
137,Basco,PH,20.4487,121.9702,76.48,77,92,17.0,overcast clouds
138,Coquimbo,CL,-29.9533,-71.3436,64.13,88,100,4.61,overcast clouds
139,Olkhovatka,RU,50.2831,39.2872,50.02,61,73,5.66,broken clouds
140,Hualmay,PE,-11.0964,-77.6139,77.97,75,99,7.7,overcast clouds
141,Panjakent,TJ,39.4952,67.6093,60.46,51,54,2.73,broken clouds
142,Nemuro,JP,43.3236,145.575,32.2,77,1,10.56,clear sky
143,Torbay,CA,47.6666,-52.7314,37.38,94,100,18.41,light snow
144,Mildura,AU,-34.2,142.15,63.07,93,14,4.34,few clouds
145,Coihaique,CL,-45.5752,-72.0662,57.81,76,75,9.22,shower rain
146,Sajanan,TN,37.0573,9.2426,63.52,64,0,20.87,clear sky
147,Port Macquarie,AU,-31.4333,152.9167,67.89,94,98,4.83,overcast clouds
148,Bayji,IQ,34.9311,43.487,65.26,72,97,9.24,overcast clouds
149,Dubovskoye,RU,47.4092,42.7575,51.66,80,93,3.6,overcast clouds
150,Sao Filipe,CV,14.8961,-24.4956,73.53,68,7,9.69,clear sky
151,Valga,EE,57.7778,26.0473,36.0,72,94,5.99,overcast clouds
152,Lagoa,PT,39.05,-27.9833,58.82,77,3,27.98,clear sky
153,The Valley,AI,18.217,-63.0578,82.26,65,20,17.27,few clouds
154,Isabela,PH,6.7085,121.9711,78.85,83,97,2.66,overcast clouds
155,Vestmannaeyjar,IS,63.4427,-20.2734,31.19,64,0,28.77,clear sky
156,Portland,US,45.5234,-122.6762,38.84,94,100,8.01,mist
157,Lahij,YE,13.1667,44.5833,83.73,57,68,4.72,light rain
158,Kamenka,RU,51.3223,42.7678,48.85,72,98,6.78,overcast clouds
159,Norman Wells,CA,65.282,-126.8329,10.44,79,100,8.05,overcast clouds
160,Makarov,RU,48.6333,142.8,26.98,83,100,9.51,overcast clouds
161,Seoul,KR,37.5683,126.9778,38.8,79,0,1.14,clear sky
162,College,US,64.8569,-147.8028,30.15,55,100,0.0,light snow
163,Khatanga,RU,71.9667,102.5,-29.51,100,46,3.74,scattered clouds
164,Victoria,HK,22.2855,114.1577,65.32,91,100,8.01,overcast clouds
165,Vardo,NO,70.3705,31.1107,24.78,80,75,14.97,broken clouds
166,Suntar,RU,62.1444,117.6319,34.54,89,100,11.56,overcast clouds
167,Barrow,US,71.2906,-156.7887,17.62,79,100,18.41,overcast clouds
168,Luderitz,NA,-26.6481,15.1594,68.54,74,5,4.52,clear sky
169,Maumere,ID,-8.6199,122.2111,79.32,81,100,3.15,overcast clouds
170,Tuatapere,NZ,-46.1333,167.6833,43.43,82,100,12.33,light rain
171,Pangkalanbuun,ID,-2.6833,111.6167,71.92,98,100,1.59,heavy intensity rain
172,Leua,SK,48.2156,18.6071,40.5,58,100,22.75,overcast clouds
173,Kodiak,US,57.79,-152.4072,26.11,93,40,6.91,scattered clouds
174,San Patricio,US,28.017,-97.5169,76.87,75,100,12.3,overcast clouds
175,Fairbanks,US,64.8378,-147.7164,30.16,59,100,0.0,light snow
176,Souillac,MU,-20.5167,57.5167,80.98,78,40,3.44,scattered clouds
177,Acapulco,MX,16.8634,-99.8901,78.62,65,0,3.44,clear sky
178,Farafangana,MG,-22.8167,47.8333,76.41,90,8,9.73,moderate rain
179,Nouadhibou,MR,20.931,-17.0347,91.38,29,26,10.36,scattered clouds
180,Vostok,RU,46.4856,135.8833,21.47,80,10,5.41,clear sky
181,Dabakala,CI,8.3667,-4.4333,90.93,42,94,7.63,overcast clouds
182,Chapleau,CA,47.8405,-83.4034,19.49,86,100,3.44,overcast clouds
183,Ucluelet,CA,48.9329,-125.5528,38.08,90,67,7.14,broken clouds
184,Kautokeino,NO,69.0125,23.0412,6.48,93,15,3.06,few clouds
185,Pevek,RU,69.7008,170.3133,-8.88,96,93,9.4,overcast clouds
186,Ndola,ZM,-12.9587,28.6366,68.41,78,23,1.57,few clouds
187,Mazamari,PE,-11.3258,-74.5308,69.67,99,100,1.63,overcast clouds
188,San Agustin,MX,20.5333,-103.4667,67.32,24,40,0.0,scattered clouds
189,Apele Vii,RO,44.0667,24.0667,56.75,77,100,10.45,light rain
190,San Quintin,MX,30.4833,-115.95,58.84,55,64,0.45,broken clouds
191,Fuerte Olimpo,PY,-21.0415,-57.8738,93.61,46,66,2.55,broken clouds
